Rec_Session_Id,Trial_Id,Block_Name,Block_Nr,Task_Name,Task_Nr,Audio device,Condition_Id,Countdown,English translation,English translation 1,English translation 2,Environment,Environment 1,environment choice ,Environment_copy_c417,Goal,Hearing abilities,Hearing disabilities,Input device,Native language,Other languages,Output device,Pilot,progress bar,quantity,Text device,toughness,toughness 
1114297,1,block_1,1,Survey,2,option_0,1,"","","","","","",option_0,"","","",false,"",Spanish,English,"","","","",option_0,"",""
1114297,1,block_1,1,Greetings,1,"",1,"","","","","","","","","","","","","","","","","","","","",""
1114297,1,block_1,1,Instructions,3,"",1,0,"","","","","","","","","","","","","","","","","","","",""
1114297,59,block_1,1,Vocalizations task,4,"",1,"","","",sleep,"","","","","","","","","","","","","","","","",""
1114297,3,block_1,1,Vocalizations task,4,"",1,"","","",amazement,"","","","","","","","","","","","","","","","",""
1114297,76,block_1,1,Vocalizations task,4,"",1,"","","",violence/fighting,"","","","","","","","","","","","","","","","",""
1114297,69,block_1,1,Vocalizations task,4,"",1,"","","",mocking,"","","","","","","","","","","","","","","","",""
1114297,71,block_1,1,Vocalizations task,4,"",1,"","","",amazement,"","","","","","","","","","","","","","","","",""
1114297,68,block_1,1,Vocalizations task,4,"",1,"","","",snoring,"","","","","","","","","","","","","","","","",""
1114297,87,block_1,1,Vocalizations task,4,"",1,"","","",gunfire,"","","","","","","","","","","","","","","","",""
1114297,55,block_1,1,Vocalizations task,4,"",1,"","","",snoring,"","","","","","","","","","","","","","","","",""
1114297,33,block_1,1,Vocalizations task,4,"",1,"","","","""ta-dah""","","","","","","","","","","","","","","","","",""
1114297,1,block_1,1,Vocalizations task,4,"",1,"","","",no idea,"","","","","","","","","","","","","","","","",""
1114297,50,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,51,block_1,1,Vocalizations task,4,"",1,"","","",gasp/scared,"","","","","","","","","","","","","","","","",""
1114297,63,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,89,block_1,1,Vocalizations task,4,"",1,"","","","rain (this sound is very quiet btw, had to crank up the volume to max)","","","","","","","","","","","","","","","","",""
1114297,18,block_1,1,Vocalizations task,4,"",1,"","","",gunfire,"","","","","","","","","","","","","","","","",""
1114297,2,block_1,1,Vocalizations task,4,"",1,"","","",disgust,"","","","","","","","","","","","","","","","",""
1114297,56,block_1,1,Vocalizations task,4,"",1,"","","",disgust,"","","","","","","","","","","","","","","","",""
1114297,41,block_1,1,Vocalizations task,4,"",1,"","","",braking,"","","","","","","","","","","","","","","","",""
1114297,12,block_1,1,Vocalizations task,4,"",1,"","","",lion's roar,"","","","","","","","","","","","","","","","",""
1114297,9,block_1,1,Vocalizations task,4,"",1,"","","",surprised,"","","","","","","","","","","","","","","","",""
1114297,11,block_1,1,Vocalizations task,4,"",1,"","","",yawn,"","","","","","","","","","","","","","","","",""
1114297,22,block_1,1,Vocalizations task,4,"",1,"","","",come,"","","","","","","","","","","","","","","","",""
1114297,14,block_1,1,Vocalizations task,4,"",1,"","","",child,"","","","","","","","","","","","","","","","",""
1114297,24,block_1,1,Vocalizations task,4,"",1,"","","","howl, gunfire","","","","","","","","","","","","","","","","",""
1114297,23,block_1,1,Vocalizations task,4,"",1,"","","",singing,"","","","","","","","","","","","","","","","",""
1114297,74,block_1,1,Vocalizations task,4,"",1,"","","",swinging something,"","","","","","","","","","","","","","","","",""
1114297,35,block_1,1,Vocalizations task,4,"",1,"","","",gunfire,"","","","","","","","","","","","","","","","",""
1114297,62,block_1,1,Vocalizations task,4,"",1,"","","",humming,"","","","","","","","","","","","","","","","",""
1114297,32,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,80,block_1,1,Vocalizations task,4,"",1,"","","",silence,"","","","","","","","","","","","","","","","",""
1114297,88,block_1,1,Vocalizations task,4,"",1,"","","",thinking,"","","","","","","","","","","","","","","","",""
1114297,61,block_1,1,Vocalizations task,4,"",1,"","","",humming,"","","","","","","","","","","","","","","","",""
1114297,45,block_1,1,Vocalizations task,4,"",1,"","","",yawning/stretching,"","","","","","","","","","","","","","","","",""
1114297,57,block_1,1,Vocalizations task,4,"",1,"","","",horse running,"","","","","","","","","","","","","","","","",""
1114297,44,block_1,1,Vocalizations task,4,"",1,"","","",drink,"","","","","","","","","","","","","","","","",""
1114297,13,block_1,1,Vocalizations task,4,"",1,"","","",surprise,"","","","","","","","","","","","","","","","",""
1114297,54,block_1,1,Vocalizations task,4,"",1,"","","",relief,"","","","","","","","","","","","","","","","",""
1114297,90,block_1,1,Vocalizations task,4,"",1,"","","",child,"","","","","","","","","","","","","","","","",""
1114297,37,block_1,1,Vocalizations task,4,"",1,"","","",nod/agreeing,"","","","","","","","","","","","","","","","",""
1114297,48,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,70,block_1,1,Vocalizations task,4,"",1,"","","",wait,"","","","","","","","","","","","","","","","",""
1114297,21,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,42,block_1,1,Vocalizations task,4,"",1,"","","",stretching,"","","","","","","","","","","","","","","","",""
1114297,27,block_1,1,Vocalizations task,4,"",1,"","","",baby crying,"","","","","","","","","","","","","","","","",""
1114297,19,block_1,1,Vocalizations task,4,"",1,"","","",no idea,"","","","","","","","","","","","","","","","",""
1114297,31,block_1,1,Vocalizations task,4,"",1,"","","",magic spell,"","","","","","","","","","","","","","","","",""
1114297,53,block_1,1,Vocalizations task,4,"",1,"","","",understanding,"","","","","","","","","","","","","","","","",""
1114297,43,block_1,1,Vocalizations task,4,"",1,"","","",nodding,"","","","","","","","","","","","","","","","",""
1114297,10,block_1,1,Vocalizations task,4,"",1,"","","",surprised/scared,"","","","","","","","","","","","","","","","",""
1114297,60,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,5,block_1,1,Vocalizations task,4,"",1,"","","",punching,"","","","","","","","","","","","","","","","",""
1114297,29,block_1,1,Vocalizations task,4,"",1,"","","",brains,"","","","","","","","","","","","","","","","",""
1114297,47,block_1,1,Vocalizations task,4,"",1,"","","",laughter,"","","","","","","","","","","","","","","","",""
1114297,82,block_1,1,Vocalizations task,4,"",1,"","","",him,"","","","","","","","","","","","","","","","",""
1114297,49,block_1,1,Vocalizations task,4,"",1,"","","",snoring,"","","","","","","","","","","","","","","","",""
1114297,36,block_1,1,Vocalizations task,4,"",1,"","","",stabbing,"","","","","","","","","","","","","","","","",""
1114297,25,block_1,1,Vocalizations task,4,"",1,"","","",bouncing,"","","","","","","","","","","","","","","","",""
1114297,4,block_1,1,Vocalizations task,4,"",1,"","","",tasty,"","","","","","","","","","","","","","","","",""
1114297,65,block_1,1,Vocalizations task,4,"",1,"","","",hitting,"","","","","","","","","","","","","","","","",""
1114297,86,block_1,1,Vocalizations task,4,"",1,"","","",hitting,"","","","","","","","","","","","","","","","",""
1114297,15,block_1,1,Vocalizations task,4,"",1,"","","",mother,"","","","","","","","","","","","","","","","",""
1114297,81,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,64,block_1,1,Vocalizations task,4,"",1,"","","",dripping,"","","","","","","","","","","","","","","","",""
1114297,67,block_1,1,Vocalizations task,4,"",1,"","","",snoring,"","","","","","","","","","","","","","","","",""
1114297,38,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,73,block_1,1,Vocalizations task,4,"",1,"","","",agreeing,"","","","","","","","","","","","","","","","",""
1114297,83,block_1,1,Vocalizations task,4,"",1,"","","",roar,"","","","","","","","","","","","","","","","",""
1114297,7,block_1,1,Vocalizations task,4,"",1,"","","",surprise,"","","","","","","","","","","","","","","","",""
1114297,77,block_1,1,Vocalizations task,4,"",1,"","","",hitting,"","","","","","","","","","","","","","","","",""
1114297,30,block_1,1,Vocalizations task,4,"",1,"","","",eating,"","","","","","","","","","","","","","","","",""
1114297,46,block_1,1,Vocalizations task,4,"",1,"","","",sleeping,"","","","","","","","","","","","","","","","",""
1114297,79,block_1,1,Vocalizations task,4,"",1,"","","",yes,"","","","","","","","","","","","","","","","",""
1114297,52,block_1,1,Vocalizations task,4,"",1,"","","",quiet,"","","","","","","","","","","","","","","","",""
1114297,16,block_1,1,Vocalizations task,4,"",1,"","","",waking up,"","","","","","","","","","","","","","","","",""
1114297,84,block_1,1,Vocalizations task,4,"",1,"","","",crying baby (this one is also pretty quiet),"","","","","","","","","","","","","","","","",""
