cosine_sim;;;;;
Right_answer;Answer;Evaluation;Category;head_word;cosine_similarity
many;3 dogs;;;dogs;0.129848897457123
many;Abstract;;;abstract;-0.0493578612804413
many;Action;;;action;0.0298490356653929
many;Agree;;;agree;-0.0376563630998135
many;Alarm;;;alarm;0.0077642179094255
many;Alarm call;;;call;0.0202707592397928
many;Animal sound;;;sound;-0.018830593675375
many;Attention getting;;;getting;0.118030197918415
many;Awkward;;;awkward;0.0113519579172134
many;BOUNCE;;;bounce;0.000267007562797517
many;Ba-dump;;;ba;0.0940216034650803
many;Baby sound;;;sound;-0.018830593675375
many;Ball;;;ball;0.012909927405417
many;Banjo;;;banjo;-0.0585782453417778
many;Be careful;;;be;0.0953559204936028
many;Beat;;;beat;-0.0594762079417706
many;Bird;;;bird;0.0452954806387425
many;Blah blah blah;;;blah;-0.0581895969808102
many;Bong;;;bong;0.00929916184395552
many;Bonk;;;bonk;-0.0439080335199833
many;Bored;;;bored;0.00311735854484141
many;Boringness;;;boringness;-0.01843586191535
many;Bounce;;;bounce;0.000267007562797517
many;Bounces;;;bounces;0.0165357682853937
many;Bouncing;;;bouncing;-0.00619119731709361
many;Calm down;;;calm;-0.0386476926505566
many;Car rear ping;;;rear;-0.0258613638579845
many;Child talk;;;talk;0.0149906659498811
many;Chinese;;;chinese;0.0323398113250732
many;Crickets;;;crickets;0.0737311169505119
many;Cute and tiny;;;cute;0.0473327077925205
many;Cute cartoon character;;;character;0.0511866025626659
many;DON'T KNOW;;;don't;0.166222512722015
many;Danger;;;danger;0.00418793875724077
many;Deepol deepol deepol;;;deepol;
many;Dipo dipo dipo;;;dipo;
many;Do this;;;do;0.214226469397545
many;Echo;;;echo;0.0420030280947685
many;Error;;;error;0.0149806961417198
many;Etcetera;;;etcetera;0.211679190397263
many;Falling;;;falling;-0.0460981540381908
many;Falling down;;;falling;-0.0460981540381908
many;Guitar strings;;;strings;0.0571787282824516
many;Happyness;;;happyness;-0.0199487265199423
many;Horse running;;;running;0.0339100249111652
many;Humming;;;humming;-0.0173918828368187
many;Hurry;;;hurry;0.00921243708580732
many;Hurry up;;;hurry;0.00921243708580732
many;Imitating a sound;;;imitating;0.0145547380670905
many;Imitating beat;;;beat;-0.0594762079417706
many;Impatient sound;;;sound;-0.018830593675375
many;Indecisive;;;indecisive;0.0370642691850662
many;Indicating something;;;indicating;-0.0484052821993828
many;Indifferent;;;indifferent;-0.0565886162221432
many;It is cheap;;;is;0.019067132845521
many;Japanese sounds;;;sounds;0.0305467080324888
many;Jumping;;;jumping;-0.0284143723547459
many;Loading;;;loading;0.0549864955246449
many;Local Dialet;;;dialet;
many;Look;;;look;0.0825779512524605
many;Looking around;;;looking;0.037651538848877
many;My guy;;;guy;0.0159636829048395
many;Pardon;;;pardon;0.0211609862744808
many;Parou;;;parou;
many;Parou Parou Parou;;;parou;
many;Paw;;;paw;0.0258154328912497
many;Pedo PEdo Pedo;;;pedo;-0.0194675419479609
many;People repeated;;;repeated;0.243582785129547
many;Pero pero pero;;;pero;0.0652848556637764
many;Person bored, joking;;;person;0.000870548537932336
many;Playful;;;playful;0.0022973190061748
many;Playfully;;;playfully;0.0389035791158676
many;Playing;;;playing;0.00326221552677453
many;Playing with a kid;;;playing;0.00326221552677453
many;Podeypodey;;;podeypodey;
many;Pointing;;;pointing;-0.00792383030056953
many;Pom;;;pom;-0.00213622488081455
many;Popo Po Poo;;;po;0.0510195270180702
many;Pou-pou-pou-pou;;;pou;0.0400484390556812
many;Pouring water;;;pouring;0.0373917557299137
many;RHYTHM;;;rhythm;-0.0665441676974297
many;Ready;;;ready;-0.0609035976231098
many;Reassuring a comment;;;reassuring;-0.0128571111708879
many;Rejecting idea;;;rejecting;-0.00130437198095024
